Erm. on a chev. sa. three horseshoes or.	Tyghall, co. Hants.
Or on a chev. gu. three horseshoes arg.	Crippis.
Vert on a chev. arg. three horseshoes sa.	Crispe, Kent.
Arg. on a chev. sa. five horseshoes of the first.	Crisop or Kirsop. The horseshoes or. Crispe, Alderman of London, W. Crispe, Hammersmith, Middlesex; Baronetcy 1665; extinct 1740.
Or on a chev. sa. five horseshoes arg.	Crisp, V*. Sir Henry Crispe or Crippes, THanet, Kent; V and Cotton MS. Tiverius D10.
Or on a chev. sa. five horseshoes of the first.	Crispe, Queeks, and Clive Court, THanet, Kent.
Or on a chev. vert five horseshoes arg.	Cripps, Homstall, Sussex; granted 25 July 1662. The horseshoes of the first. Cripps, Cirencester.
Vairy or and gu. on a chev. az. three horseshoes arg.	Renaud de Botereus, F.
Vert. on a chev. arg. five horseshoes sa.	Crispe, Kent.
Arg. on a chev. sa. three angels kneeling habited in long robes close girt their hands conjoined elevated upon their breasts wings displ. or.	Maelor Crwm, Lord of Llechwidd-isaf and Creuddyn, co. Caernarvon. Maleock, Wales.
Arg. on a chev. gu. a fret (wine-broach or piercer) of the first.	Clapham.
Arg. on a chev. sa. three keys each ensigned with a coronet or.	Ickam, Canterbury.
Or on a chev. gu. a true-lover's knot of the first.	Town of Stafford.
Arg. on a chev. gu. three lozenges of the first each charged with a cross croslet sa.	Allen. Allyn, V*. Aslyn, V. (? Cornish, London.)
Arg. on a chev. gu. three lozenges or.	Geebridge.
Arg. on a chev. gu. three lozenges each charged with a cross croslet fitchy sa.	Austen.
Arg. on a chev. sa. three lozenges of the first each charged with a cross croslet az.	Aslyn, V.
Or on a chev. sa. three lozenges of the first.	Learmouth, Edinburgh.
Arg. on a chev. gu. five lozenges or.	Ederstone.
Arg. on a chev. gu. a lure the tassl waved or.	Brooke, co. Devon.
Or on a chev. az. three mascles of the first.	Larman or Lasan.
Or on a chev. gu. three mascles arg.	Murdoch.
Or on a chev. sa. three mascles of the first.	Learmouth, Balcomy, Scotland. And with a rose .... Learmouth, Darsy, and Esselment, Scotland.
Paly of six arg. and gu. on a chev. sa. a mitre or.	John Carpenter, Bishop of Worcester 1443-76, Add. MS. 12443.
Arg. on a chev. engr. sa. two griffins combatant of the first.	Pynell.
Arg. on a chev. az. three griffins gu.	Sire Adam de Bloy, O.
Or on a chev. sa. three griffins segreant of the first.	Knight, co. Hants.
Arg. on a chev. az. a mullet of the first.	Toty, V. The mullet pierced. Toty.
Arg. on a chev. sa. a mullet of the first.	Mixfine, co. Cambridge.*
Arg. on a chev. sa. a mullet or in chief a label gu.	Prideaux, Thuborough, co. Devon.
Erminois on a chev. sa. a mullet arg.	Topper.
Or on a chev. sa. a mullet arg.	Merffyn or Myrfyn, quartering Don, Cotton MS. Julius F, VIII. fo.36; Harl. MS 1179, fo. 77. Myerfyn or Mervyn. Mirfin, Lord Mayor of London 1518.
Vert on a chev. arg. a mullet gu.	Grogan, Ireland.
Arg. on a chev. sa. two mullets of the first.	Kuelley or Kewley.
Arg. on a chev. vert two pierced mullets or.	Drury.
Gu. on a chev. arg. two mullets sa.	Bacon.
Arg. on a chev. .... three mullets sa.	Bearecroft, co. Worcester.
Arg. on a chev. az. three mullets of the first.	Witty.
Arg. on a chev. az. three mullets or.	Bosvile.
Arg. on a chev. gu. three mullets of the first.	Londlands, that Ilk.
Arg. on a chev. gu. three mullets or in chief an annulet sa. for diff.	?Gambon or Gamon.
Arg. on a chev. sa. three mullets of the first.	Tegwared y Baiswen, natural son of LLewellyn the Great. Ganiboun. Knell. Knelley, V. Regelley, V*. Riggeley, co. Stafford.
Arg. on a chev. sa. three pierced mullets of the first.	Griffith or Gryffydd, Bach-y-saint, co. Carnarvaon; and Tan-y-bwlch, co. Merioneth, the heiress m. Oakeley. Regelley, V. Ridgley, Abright-Hussey, co. Salop; and Longdon, co. Stafford.
Ag. on a chev. sa. three mullets or.	Adams, V*. Adam de Saint Ivis, V. Robarts, Kent.
Arg. on a chev. sa. three pierced mullets or.	Adams, St. Ives.
Arg. on a chev. sa. three mullets or each charged with a torteau.	Gamboun, V.
Az. on a chev. arg. three mullets of the first.	Roberts, Kent.
Az. semy of 5-foils arg. on a chev. of the last three mullets gu.	Carus, Kendall, Westmoreland. Crawe.
Az. on a chev. arg. three mullets sa.	Robarts or Roberts. Roberts, Borzell, Ticehurst, Stonehouse, and Warbleton, Sussex; a branch of Roberts, Glastenbury near Cranbrook, Kent; quartering Tyllye: Baronetcy 1620-1745. The mullets pierced. Roberts, Truro, Cornwall; granted 2 June 1614. Roberts, co. Lincoln; London; and co. Worcester.
Az. on a chev. or three mullets sa.	Roberts, Beechfield, Bromley, Kent.
Barry of (five, V*.) six or and az. on a chev. gu. three six pointed mullets (arg. V*.) or.	Talworth, V*. Talworthe, V.
Barruly .... and .... on a chev. .... three mullets.	De la More alias Bythemore, Collinson, Somerset, i, 185.
