Quarterly sa. and or in the first quarter a lion pass. arg.	Bowden. Bowden, co. Chester. Bowdon, V.
Quarterly sa. and or in the first quarter a lion pass. arg. langued gu.	Bowdon, Beighton Fields and Southgate House, co. Derby; quartering Erdeswick. Bowdon, Pleasington Hall, co. Lancaster; descended from Bowdon, Southgate House, co. Derby; quartering Butler.
Quarterly sa. and or in the first quarter a lion pass. guard. arg.	Bowdon.
Quarterly sa. and or in the first quarter a lion pass. of the second.	Bowden, Bowden, co. Chester.
Quarterly sa. and or in the first quarter a lion ramp. guard. of the second.	Bing, Kent.
Quarterly vair with gu. three bars or over all a lion ramp. arg.	Peverell.
Quarterly vert and gu. over all a lion ramp. arg.	Awing, Suffolk, V. Hunninge, V*. Huninges, co. Chester; and Carsam, Suffolk. Oulton, co. Chester, 1572, Harl. MS., 2151, fo. 85 b. Oldington or Olton.
Quarterly vert and or over all a lion ramp. arg.	Oulton.
Sa. a lion pass. arg.	Bichingfield. Sir John Stormy, R. Taylor, Cumberland; Lyme, co. Dorset; and Denbury, co. Devon. Taylour, co. Cambridge; Haleston Grange, co. Cloucester; and Bradley, co. Hants. John Taylor, London, W. Verdon, Northumberland. Vernon.
Sa. semy of annulets and a lion pass. arg.	Fulthorpe,V.
Sa. a lion pass. arg. crowned or.	Lee, Wales, W. Leigh. Huston, Cornwall.
Sa. a lion pass. guard. arg.	Stormy or Sturmy. Redeshall, co. Lincoln.
Sa. a lion ramp arg.	Arbouin. Bratton. M. Henry de Breban, D. Cassamajor. Churchill. Cromwell, Hinchinbrooke, co. Hants; descended from Williams, Wales. The Lord Protector Oliver Cromwell. Cromwell, Thobalds, Cheshunt, co. Herts; the heiress m. 1831, Russell. Deverdon. Edgar, Wadderley, Scotland. Engharad, daughter of Meirich ap Dynfwal ap Arthen ap Sybsilt, King of Cardigan, and wife of Rhodri Mawr. (?) Silvester de Everdon, Bishop of Carlisle, 1247-54. Roger de everdon, seal 24 Edward III, Harl. MS. 818, fo. 43. Eble de genevre, B. Holmes. Lewis, Lanishen Court, co. Monmouth; quartering sa. a chev. betw. three spear-heads arg. with sa. a chev. bew. three fleurs-de-lis or, and or on a canton gu. two lions pass. of the first; and Lanishen House, co. Glamorgan; both descended through Lewis, the Van, co. Glamorgan, from Ivor ap Meurig, known as Ivor Bach, living temp. Hen. II; the heiress m. Windsor. Hall Essex. Hereford. Kilche. Sir Johan de Kindeston, (? the lion or), J Mackmorough, Ireland. Maithiard. Tobias Matthew, Bishop of Durham, 1595; Archbishop of York, 1606028; quartering gu. three chevronels arg. with a crescent in the fess point .... Matthew, co Dorset. Matthew, Stansted, Sussex. Modlicote, Whitley Hall, co. Salop. Morle or Morley, Morle, Norfolk. Pendle. Henry de Penedoke, E. Plank, Essex. Sandford. Scurmy. Segrave. Nicholas de Segrave, A. Thorne. Thornes, co. Salop. Thorney, V. Torney or Tourney. Vardon, Norwich. Sir Thomas de Verdon or de Verdoun, N. Sir John Verdon, R. Sir Thomas de Verdon, co. Northampton, temp. Edward I, V. Warden, V*. Wardon, V. Wastness, quartered by Greasley. Wastneys. Sir William Westeney, I. Williams, co. Huntingdon; and Denton, co. Lincoln. Williams.
Sa. a lion ramp arg. a label gu.	Polimore, Polimore, co. Devon. Nicholas de Segrave, K.
Sa. a lion ramp arg. depressed by a bend compony of the second and gu.	Thomas Marche, V.
Sa. a lion ramp arg. debruised by a bend compony or and gu.	Croxton, Croxton, co. Chester, temp. Henry III; the heiress m. Mainwaring, an illegitimate descendent of Mainwaring of Peover. Croxton, Ravenscroft, extinct 1696. Marshe, Presland or Prestland, Thoby, Essex.
Sa. a lion ramp. arg. over all a bendlet compony or and gu.	Croxton, V*. Scharington, V*. Schevington, V*.
Sa. a lion ramp. arg. over all a bend gu.	Colvile, Suffolk. Chirchill, V. Chirkehill, V. Holme.
Sa. a lion ramp. arg. over all a bendlet gu.	Churchill, co. Somerset; and Chirchill-Henbury, co. Dorset. Sir John Churchill, Churchill, co. Somerset, 1730.
Sa. a lion ramp. arg. over all a dexter baston gu.	Monsire Robert de Morley, Y.
Sa. a lion ramp. arg. over all a bend or.	Vessey, Isham, co. Cambridge.
Sa. a lion ramp. arg. oppressed with a bend engr. or.	Segrave.
Sa. a lion ramp. arg. over all on a fess or three crosses patty fitchy (another, crosses croslet fitch) of the field.	Colbroke.
Sa. a lion ramp holding betw. the forepaws a 5-foil arg.	Luard.
Sa. a lion ramp supporting a garb arg.	Kirkeby.
Sa. a lion ramp. arg. holding in the paw a garb or.	Kyrby or Kyrkby, Essex.
Sa. semy of annulets and a lion ramp. arg.	Fulthorp. Sir Roger Fulthorpe, V. Molton.
Sa. semy of annulets or a lion ramp. arg.	Fulthorp.
Sa. billety arg. a lion ramp of the last.	Sire Johnan Neyrmiyst or Neyrnuyt, N. Wartoft.
Sa. semy of crosses bottony and a lion ramp arg.	Hantevill or Hautevill, co. Devon.
Sa. semy of crosses croslet and a lion ramp arg.	Sire Geffrei de Hauteville, O, Hautevile, N. Long, Wraxall, co. Wilts; Draycot, co. Wilts, quartering Cerne; and Wansted, Essex, Bart., extinct 1805, quartering Popham, Seymour, and Child; the heiress m. Pole. Long, Preshaw, co. Southampton; descended through Long, Devizes, like Long, Monkton Farleight and Baynton, co. Wilts, through Long, Rowde Ashton, co. Wilts, quartering Long, from Long, Little Cheverell and Potterne, co. Wilts. Long, Melksam, and Collingbourne Kingston, co. Wilts. Sir Gefferay Watevile, L, Harl. MS. 6137.
Sa. semy of escallops and a lion ramp. arg.	Holland.
Sa. semy of 5-foils and a lion ramp. arg.	Clifton, Clifton, co. Nottingham, Bart. Pierpont.
Sa. semy of 5-foils and a loin ramp. arg. langued gu.	Seal of Gervase Clifton, Treasurer of Calais, 36 Henry VI, Harl, MS. 6829, fo. 23.
Sa. the field replenished with acors or a lion ramp. arg.	Atwood.
Sa. goutty de larmes and a lion ramp. arg.	Chantry.
