Az. three demi-lions ramp. arg.	Newman.
Az. (but ? sa.) three demi-lions ramp. erased erminois.	Green, Cawthorne, and Thundercliffe Grange, Sheffield; granted 6 October 1612.
Az. three demi-lions pass. guard. or.	Hamond, Kent.
Az. three demi-lions ramp. or.	Harrison, Acaster, Caton, and Flaxby, co. York. Harrison, Greenbank, Ambleside, co. Westmoreland.
Az. three demi-lions ramp. erased or.	Thomas Harrison, Mayor of York; granted 2 August 1592.
Az. three demi-lions ramp. erased or each crowned with an easter crown arg.	Harrison, Hendon, Middlesex; and Westminster; Bluemantle Pursuivant of Arms, 1767; Windsor Herald, 1774; Norroy King of Arms, 1784; and Clarenceux King of Arms, 1803. Rogers-Harrison, Hendon, Middlesex, quartering Rogers. Rogers-Harrison, Blanche Lyon Pursuivant of Arms Extraordinary, and Bluemantle Pursuivant of Arms, 1831; quartering Rogers, with over all in the centre chief point on an inescucheon gu. a lion ramp. arg. in allusion to the office.
Gu. three demi-lions pass. in pale arg. crowned or.	Bennet.
Gu. three demi-lions ramp arg. with a mullet of in the centre for diff.	Benett, Norton Bavant, Westbury, and Pyt House, co. Wilts.
Gu. three demi-lions ramp. couped arg. with a bezant in the centre for diff.	Sir Thomas Bennet, Lord Mayor of London 1603, Harl. MS. 1349; but Bennet 6095, fo. 23b.
Gu. three demi-lions couped or.	Pepper, Ireland.
Gu. three demi-lions pass. or.	Esche or Eschey. Hammond, Cheam, Surrey.
Gu. three demi-lions pass. guard. or.	Hach, co. Devon.
Or three demi-lions pass. guard. gu.	Knolles. co Hants. Knowles, Downton and Winchester, co. Hants; Visitation 1634.
Or three demi-lions ramp. gu.	Bennet, co. Devon.
Per pale indented arg. and vert three demi-lions those in chief the dexter gu. the sinister or and that in base per pale indented gu. and or.	Hawkins-Whitshed, Killincarrick, co. Wicklow, and Jobstown, co. Mayo, Baronetcy 16 May 1834; quartering Hawkins. Whitshed, Dublin; certified 7 July 1705.
Per pale az. and or three demi-lions pass. guard. in pale arg.	Hamond, Kent.
Per pale az. and sa. three demi-lions ramp. erm. each gorged with a collar gemelly gu.	Harrison, Ripley, Surry; granted 31 March 1819.
Per pale gu. and az. three demi-lions ramp. arg. ducally crowned or.	Wiberd, Essex.
Per pale gu. and az. three demi-lions pass. guard. or.	Hamond, Windingham, co. Cambridge; co. Hertford; tuddington, Middlesex; and co. York.
Per pale or and az. three demi-lions pass. counterchanged.	Hammond, co. Buckingham; and Kent.
Sa. three demi-lions ramp. couped arg. langued gu.	Newman. Mamhead, co. Devon, Baronetcy 17 March 1836.
Sa. three demi-lions ramp. erased without tails (but with tails Harl. MS. 1359, fo. 13, confirmed 1 July 1588) arg.	Randall, co. Berks; and Kentesbury, co. Devon, 1583, quartering Woolfe; the heiress m. Jones.
Sa. three demi-lions ramp. erm.	Newman, Crediton, co. Devon.
Sa. (but ? az.) three demi-lions ramp. erased erminois.	Greene, Cawthorne, and Thundercliffe, Grange, co. York, granted 1612.
.... three lions pass ....	Wilstan de Bransford, Bishop of Worcester 1339-49.
.... three lions pass. in pale arg. over all on a bend sa. three annulets or.	Parlar, Westminster.
.... three lions ramp. .... over all a bend of lozenges .... Nicholas Pyk's Seal.
.... three lions ramp. guard ....	Philip de Vaches's Seal, 1382.
Arg. three lions .... az. over all a bend gu.	Elley, co. Hants.
Arg. three lions .... az. crowned or.	Josceus de Dinant, Dugdale, Bar. i, 443; Joos of Ludlow; Leland, Coll. i, 232.
Arg. three lions pass. in pale az.	Geffrey de Colvile, A. but Camvile, A, Harl. MS. 6137.
Arg. three lions pass. guard. in pale az.	Gregg.
Arg. three lions ramp. az.	Mildmar. Mildmay, Earl of Fitz-Walter, Viscount Harwich, creation 14 May 1730, extinct 1756; Baron Fitz-Walter, creation 10 February 1669. Mildmay, Moulsham, Essex; Baronetcies 29 June 1611, extinct 13 February 1625-6; 5 February 1765, extinct 8 August 1771. St. John Mildmay, Farley, Dogmersfield Park, and Shawford, co. Hants; Hazelgrove, co. Somerset; Moulsham Hall, and Marks, Essex; Baronetcy 9 October 1772. Sir .... Talbott, Bashall, co. Lancaster, R.
Arg. three lions ramp. az. armed and langued gu.	St. John-Mildmay, Moulsham Hall, Essex, quartering St. John; Baronetcy 9 October 1772. Mildmay, The Graces, Essex. Mildmay, Danbury, Essex; and Apthorp, co. Northampton.
Arg. three lions pass. in pale gu.	Desnay, co. Lincoln, V. Disney, co. Lincoln. Disni, in Norton Disney Church, co. Lincoln. M. William Dysney, S. Faconberge. Fawconbridge, V*. Fawconbrige, W. Kinerby. Kynnerby, V. T. Littlebury, V. St. Ive. Johan de St. Yve, F.
Arg. three lions pass. gu.	Desnay, V*. Monsire de Dilny, Y. Fawconbridge. Humfines. Gloucester. Kynerby, V*.
Arg. three lions pass. gu. armed az.	Dynsey.
Arg. three lions pass. tails coward in pale gu.	Walleys or Wallis.
Arg. goutty de sang three lions pass. gu. crowned or.	Fayrford.
Arg. goutty de sang three lions pass. tails coward gu. crowned or.	Fayrford.
Arg. three lions pass. guard. in chief gu.	Yonge.
Arg. three lions pass. guard. in pale gu.	Brograve, Hamels, co. Hertford; Baronetcy 18 March 1662; extinct 8 June 1707; co. Lancaster; and London. Brograve Burgrave or Boroughgrave, Norfolk, and co. Warwick. Brograve, V. Fawconbridge, V*. Sir William Fawconbrig, V.
