Arg. two bars sa. in chief tree round buckles az.	Butler. Luther, Myles's, Essex, temp. Henry VIII; the co-heirs m. Fane of Wormsley, and Taylor. Luther.
Arg. two bars and a canton az.	Byngley or Bynley. Lathbury. Pipard or Pypard. Twyford, London, temp. Richard II.
Arg. two bars and a canton az. charged with a martlet of the first (another or).	Lathbury, Holme, co. Derby, visitation 1611. Lathbury, V*. Lathebury, V.
Arg. two bars az. on a canton of the last a 5-foil of the first.	Peperde.
Arg. two bars az. on a canton of the last a 5-foil or.	Picard. Sir Rauf. Pipard, G. J; or Pypard, F. Piper.
Arg. two bars az. on a canton gu. a 5 foil or.	Rauf Pipart, E.
Arg. two bars az. a canton sa.	Paul or Paule, Norfolk; and Lambeth, Surrey.
Arg. two bars az. on a canton sa. a 5 foil or.	Pypard, co. Worcester.
Arg. two bars and a canton gu.	Berdsey. Cistercian Abbey at Bitlesden, co. Buckingham. Bois, V*. Bois, E. Ernaud de Bois, F. Nicol de Borse, E, Harl. MS. 6137. Ernald de Boyes; Arnald del Boyis, C. Ernaud de Boys, B. John de Boys, A, or del Boyes, D. Sir Robert Boys, co. Lincoln, V. Boys, Lincoln. Broughton, co. Lancaster. Bynley. Copland. Corbet, V. M. Robert Corbet, S. Deane, Yatton, co. Hereford. Fuller, Norfolk and Suffolk. Kirby, Nottingham, temp. Elizabeth. Kirkeby. Stakeland. Strickland. Sir Walter de Striklande, N.
Arg. two bars and canton gu. a label of three points of the first.	Kirby. Kirkby, Kirkby. co. York; Rowcliff, co. Lancster; and Cumberland.
Arg. two bars gu. on a canton of the second a cross moline or.	Headworth. Kirby, Nottingham. M. Richard de Kyrkeby, S. Sir Roger Kyrkby, Kyrkby, co. York, V. Kyrkeby, co. York, V.
Arg. two bars gu. on a canton of the last a 5-foil pierced or.	Corbet.
Arg. two bars gu. on a canton of the last a mullet of the first.	Boys.
Arg. two bars gu. on a canton of the last a mullet or.	Kirkby.
Arg. two bars and a canton gu. over all a fillet sa.	Bois or de Boys, 1315; in Ingham church, Norfolk.
Arg. two bars and a canton gu. over all a bend az.	Copland. Sir John Coupland, V.
Arg. two bars and a canton gu. over all a bend sa.	Copland, Boston, co. Lincoln. Sire Johan du Boys, N. Boys, Hoston, Norfolk.
Arg. two bars gu. debruised by a bend sa. over all a canton of the second.	Copeland, London; and Bootle, Cumberland.
Arg. two bars and a canton gu. a bendlet sa.	M. Roger le Boys, S.
Arg. two bars sa. a canton erm.	Marshall, Lord Mayor of London, 1745.
Arg. two bars nebuly sa. a canton gu.	Brokesby, Sholey, co. Leicester. Escanton or Stanton, co. Leicester.
Arg. two bars and a canton sa.	Benley, Bentley or Benley, V*. Benly or Bently, V. James de Bots, E. Boy. Boys, Lincoln. Dubois, F.
Az. two bars or a canton sa.	Hill, London.
Erm. two bars and a canton gu.	Borse or Borsey. Boyes. Nicol du Boyse or Bois, E.
Gu. two bars and a canton arg.	Deane. De Dene, V. Dene, co. Hereford. Dent.
Gu. two bars the upper erm. the lower arg. a canton of the second.	Harowdon, V.
Gu. two bars and a canton erm.	Harowdon, V*.
Gu. two bars or a canton erm.	St. John.
Gu. two bars voided or a canton erm.	Griggs, Norfolk.
Or two bars and a canton az.	Scarborough or Scarburgh, Norfolk. Skarborough, V.
Or two bars az. a canton erm.	Goucell.
Or two bars az. and a canton erm. in chief a fleur-de-lis sa.	Gowcell, Dinner, Norfolk.
Or two bars and a canton gu.	Boys, Lincoln. Bramshow. Corbet. Fitzwallen, Essex.
Or two bars and a canton gu. over all a bend sa.	Coupland.
Or two bars sa. a canton erm.	Wescomb, co. Somerset.
Sa. two bars nebuly arg. a canton gu.	Brokesby: and with a mullet gu. on the canton, Sir John Brokesby, co. Leicester, V.
Sa. two bars gu. a canton or.	Pynon.
Sa. two bars arg. on a canton of the second a buck of the first attired or.	Buxton, Buxton, co. Derby; Brassington, co. Leicester.
Arg. two bars gu. on a canton of the first a lion pass ....	Bellingham.
Arg. two bars gu. on a canton of the second a lion pass. of the field.	Boyes, Claybrooke, co. Leicester.
Arg. two bars gu. on a cant. of the second a lion pass. guard. of the first.	William de Lancaster, V. Kendall.
Arg. two bars gu. on a canton of the second a lion pass. guard. or.	John de Lancaster, a Baron in 1299. Lancaster, Crackhouse, Cumberland; and Rainhill, co. Lancaster. Sir John Lancaster, V. Roger de Lancaster, E.
Arg. two bars gu. on a canton a lion ramp. guard. or.	Sire Johan de Lancaster, N.
Az. two bars arg. on a canton of the last a lion pass. of the first.	Wilson, V.
.... two bars .... on a canton .... two lions .... pass ....	Baron.
Or two bars az. on a canton arg. five billets sa.	Jugler, Ryegate, Surrey. Jugler.
Gu. two bars arg. on a canton of the last a martlet sa.	Rocull, co. Hants.
Arg. two bars sa. on a canton of the last a buckle or.	Twiford or Twyford, co. Leicester, Lord Mayor of London, 1368.
