Per fess nebuly arg. and gu. the under side radiated or.	Leuson, Holgrave; Harl. MS. 1045, fo. 132.
Per fess dancetty arg. and sa. each point terminating in a fleur-de-lis.	Woodmerton, V*.
Per fess embattled arg. and sa.	Buck, Daddon in Bideford, co. Devon.
Per fess az. and arg.	Clun.
Per fess indented az. and arg.	Valence.
Per fess nebuly of three az. and arg.	Bourgongne.
Per fess az. with chequy or and gu.	Hamond de Bonet, A.
Per fess az. and or.	Sampson.
Per fess dancetty az and or.	Tebaud le Butliler, G.
Per fess indented az. and or.	Valeynes.
Per fess in chief bendy of six or and sa. in base erm.	Dabeton.
Per fess gu. and arg.	Cocke, co. Hertford. Boyle.
Per fess gu. and arg.	Duchy of Magdeburg; quartering Brandenburg (Prussia), Stettin, Pomerania, Wenden, Cassubia, Crossen, Halberstadt, Schwiebus, Nuremberg, Minden, Hohen-Zollern, Cammin, Magdeburg, and the right of regalia; over all on an escu. the Mark of Brandenburg. (?) Dorothea Wilhelmina Christina, daughter of John Frederick, Marquis of Brandenburg Anspach, wife of George II. Willement, 104.
Per fess indented erm. and gu.	Brome.
Per fess wavy gu. and arg. goutty de-poix.	Redonhall.
Per fess gu. and az.	Gyles.
Per fess gu. and erm. a label of five points ar.	Betfield, Glege, co. Lancaster.
Per fess indented gu. and erm.	Broone.
Per fess dancetty or and az.	Rauf de Sandviz, A; Ashmol. MS.
Per fess indented or and az.	Sanders. Saunders, Northumberland. 1730.
Per fess or and gu.	Nicholas de Creili, A; Ashmol. MS.
Per fess indented or and gu.	Kemelicke. Kendall or Kendel.
Per fess wavy or and gu.	Drummond, Concraig, and Borlands, Scotland.
Per fess indented sa. and arg.	Le Poer or Power, Ireland. Sir Roger Bar....Bamnye, i.e. Baudwyn; Harl. MS. 5137, fo. 37.
Per fess sa. and erm.	Merlop, Wales.
Per fess indented sa. and or.	Harsick or Hartsick, Suffolk.
Arg. a fess az.	Byrkin. Burken. Burkin, London; Burlingham, co. Norfolk. Borselle. Brett. Birken, co. York. Birkin; extinct as a Baronial family, temp Henry III. Charters or Chartres, Scotland. Delamare. Everdon, V. Lamingham. Trewiniard, Devonshire.
Arg. a fess az. a label of the same.	Adam de Everingham, M.
Arg. a fess az. a label gu.	Ada de Everingham. Everyngham, V. Silvester de Everdon, Bishop of Carlisle, 1247-54. Byrkyn, V.
Arg. fretty gu. a fess az.	Flemming.
Arg. a fess az. a bendlet gu.	Irdis or Irish.
Arg. a fess az. over all three arrows points downwards one in pale the other two meeting in point counterchanged.	Hutchinson.
Arg. a fess az. over all a lion ramp. gu.	Whittingham, Sussex. Whittingham, Holmside, co. Durham. Harl. MS. 1488, fo. 20.
Arg. a fess az. over all a saltire gu.	Ashe.
Arg. a fess dancetty az.	Chadwell. Robert FitzElys, Newton, X.
Arg. a fess dancetty az. a label gu. of five points.	William le Vavessur, E.
Arg. three fusils in fess az.	Cleedhill, Burkisland in Halifax, co. York.
Arg. a fess indented az.	Sr. William Vavasour, I.
Arg. a fess lozengy az.	Hastings.
Arg. a fess nebuly az.	Swale, Swale Hall, co. York, Bart.
Arg. a fess chequy az. and arg. over all a lion ramp gu.	Stewart, Scotland.
Arg. a fess chequy az. and of the first over all two crows sa. pendant on an arrow fesswise ppr.	Murdoch, Cardonald, Scotland. Macmurdoch, Rosehill.
Arg. a fess chequy gu. and or.	Purdey, London.
Arg. a fess chequy or and az.	Arderne, co. Stafford; co. Warwick. Ardyn, Kent. Staning or Stayning.
Arg. a fess chequy or and az. over all a lion ramp. sa. armed gu.	Boreley, co. Salop.
Arg. a fess chequy sa. and of the first in chief a mullet as the second.	Hilary, co. Norfolk.
Arg. a fess chequy sa. and or.	Hollery, co. Norfolk. Purdew.
Arg. a fess dancetty compony az. and or.	Willesdon. Wylidon.
Arg. a fess compony gu. and or.	Masguler, V*.
Arg. a fess compony or and az.	Steninge, V*.
Arg. a fess compony sa. and or.	Hilary.
Arg. a fess countercompony gu. and or.	Hillary, Norfolk. Masculer, V.
Arg. a fess countercompony gu. and or in chief a mullet sa.	Hillary, Hadley, Suffolk.
Arg. a fess countercompony or and az.	Sir Jogn Stenynge, V.
Arg. a fess erm.	Harleston. Harlston, Essex.
Arg. fretty gu. a fess erm.	Caddell.
Arg. a fess dancetty erm.	Mytton, Little Mytton, as quartered by Atherton; Harl. MS. 1549, fo. 151.
Arg. a fess gu.	Barmford, Lincoln; co. York. Jogn de Bokesle, A. Bethune, France. Burkin, Burlingham, Norfolk. Denyngsell. Elliot, Ireland. Dodingsels, Kent, V. Dodingsells, a crescent sa. for diff. M. Jogn Dodyngsele, S. Eveing of Eveng. Kaynille. Thomas de Kent, A. Kirketon. Kirton. Lacy, Ireland. Melville, Raith, Scotland; Dunbar, Scotland. Langham.. Marmion. Oldbury. Ramsey, Marchwood, co. Hants. Romsey, co. Chester; and co. Hauts. Rochford. Royston-priory, co. Hereford; impaling chequy arg. and sa. Tronyll, Cornwall. Tweng, or Thweng, Yorkshire; temp. Edward II. Weldon. Workesley.
Arg. a fess gu. quartering arg. in chief three piles gu. in base a mount vert on a canton az. a sun or.	Ongley, Baron Ongley.
Arg. a fess gu. in the dexter chief point a mullet of the second.	Odingell or Odingells, Eperston, co. Nottingham. Rauf D'Oddingsells, Y. De Oddingellesse, F. Sr. Jogn de Odingsells, I. Sire Johan Dodingselles, N.
Arg. a fess gu. a label of five points az.	Rommesey, V.
Arg. and gu. per pale on the dexter side a fess of the last.	Wyneslow.
Arg. a fess gu. a label of three points az.	Langham.
