Az. a bendlet (bend V*.) betw. two swans arg. ducally gorged and lined or.	Petfine, V*. Petfyne, V.
Az. a bend engr. betw. two cygnets arg. gorged with ducal crowns with strings reflexed over their backs or.	Pitfield, Seymonsbury, co. dorset; and Hoxton, Middlesex.
Az. a bend engr. arg. betw. two swans ppr. (sometimes crowned and) chained or.	Pitfield, 1716.
Az. a bend or betw. two swans arg.	Jenison, Northumberland.
Az. a bend wavy or betw. two swans arg. membered of the second.	Jenison, co. Lincoln; co. Nottingham; Itheston, co. Northampton; co. York; and Wales.
Az. a bend or betw. two swans ppr.	Jeneson, quartered by Gordon.
Arg. a bend gu. betw. three bunten birds ppr.	Bunten or Bunting, Ardoch, Scotland.
Arg. a bend engr. gu. betw. three bunting birds ppr.	Bonteine, Mildovan.
Arg. a bend az. betw. three choughs ppr.	Carigs.
Arg. a bend gu. betw. three Cornish coughs ppr.	Gosfright.
Arg. a bend gu. betw. three magpies ppr.	Carigs. Carygoes.
Arg. a bend engr. gu. betw. three Cornish choughs ppr.	Bontien.
Arg. a bend sa. betw. three Cornish choughs ppr.	Wuilter, Staple, Kent; granted 12 June 1551.
Or a bend gu. betw. three ravens ppr.	Witham or Wytham, Goldesborough, co. York; Baronetcy 13 December 1683; extinct 15 November 1689.
Az. a bend or betw. three cocks arg.	Langstaff.
Arg. a bend betw. three eagles displ. sa.	Page or Paige, co. Devon. Popelley. Popley.
Az. a bend arg. betw. three eagles displ. or.	Halanton, V*. Halengton. Hallington.
Az. a bendlet arg. betw. three eagles displ. or.	Halanton, V.
Az. a bend engr. erm. betw. three eagles displ. or.	Kinge, Essex.
Gu. a bend vair betw. three eagles displ. arg.	Bewpell.
Or a bend gu. betw. three eagles sa.	Witham, Cliffe, co. York; quartering Wauton, Wycliffe, and Meaburn.
Or a bendlet (or baston) gu. betw. three eagles close sa.	Witheam, co. York, V. Witham, V.
Or a bendlet (or baston) gu. betw. three eagles close in trian aspect sa.	Robert Witham, co. York, V.
Or a bend gu. betw. three falcons sa.	Witham.
Gu. a bend betw. in chief two hawks and in base another or.	Slaney, co. Worcester.
Az. a bend betw. three lapwings arg.	Hyham, V*.
.... a bend .... betw. three martlets .... Tilli; seal 1345.
Arg. a bend betw. three martlets gu.	Staverdon.
Arg. a bend engr. sa. betw. three martlets or.	Straits or Stretch, co. Devon.
Az. a bend engr. betw. three martlets arg.	Scurfield, Offerton, and Elstob, co. Durham.
Az. a bend arg. betw. three martlets or.	Mountney, Newlaud-Verdon, co. Leicester.
Gu. a bend betw. three martlets or.	Lynam, Ireland. Slaney or Slany, Milton, co. Stafford; and Lord Mayor of London, 1595; granted 1595.
Sa. a bend betw. three martlets or.	Slaney, Hatton Grange, co. Salop.
Az. a bend engr. or betw. three owls arg. each on a tun lying fesswise of the second.	Calton, Babram, co. Cambridge; granted 25 June 1567. Catton.
Sa. a bend or betw. three owls arg.	Caton.
Sa. a bend engr. or betw. three owls arg.	Catton, V*. Cotton, V.
Sa. a bend or betw. three owls arg. membered of the second.	Catton.
Az. a bend or betw. three pelicans feeding their young arg.	Cramond or Crawmond, Auldbar, Scotland.
Or a bend gu. betw. three pewits sa.	Witham, Cliffe, co. York; originally of co. Lincoln; quartering Wauton, Wycliffe, and Meaburn. Witham, Headlam and Lartington Hall, co. York.
Az. a bend arg. betw. three swans of the second crowned (another collared and chained) or.	Petfyn.
Or a bend gu. betw. four eagles displ. sa.	Vezey.
Arg. a bend wavy betw. six cocks gu.	Coxwell, Ablington, co. Gloucester; quartering Rogers.
Or a bend gu. betw. six eagles displ. sa.	Sire Felip de Verley, N.
Or a bend gu. betw. six eagles displ. sa. armed arg.	Vale.
Arg. a bend sa. betw. six storks ppr.	Starky Bromham, co. Wilts; quartering Bayntun. Starkie, Frenchwood, co. Lancaster; and Riddlesden Hall, co. York; descended through Starkie, Huntroyd, co. Lancaster; from Starkie, Stretton, co. Chester.
Arg. a bend betw. six storks sa.	Starkie, co. Lancaster.
.... a bend .... betw. six martlets ....	Sir Richard de la Mare, co. Hereford.
Arg. a bend betw. six martlets gu.	Sire Thomas de Forneval, N. Thomas de Fournval, K. Sr. Thomas Fournivall, H, or Funivall, J. Furneval. Monsire de Furnevall, Y. Furnival, quartered by TAlbot Earl of Shrewsbury, U. Gerard de Furnivall, E. Sr. Thomas Furnivall, V. Furnivall, co. Hertford, temp. Henry III. Le Sire de Furnivall, Y. Walter de Furnivall, C. Thomas Furnyvall, B. Hulgrave, co. Chester. Hulgreve, Beverton, co. Chester, V. Tempest. Thaworth. And with a label az. William Furnivall, B. The label of three points. Furnivall, co. Hertford, temp. Henry III.
Arg. a bend betw. six martlets gu. over all a crosier or.	Priory of Austin Canons at Radford or Wirkesop co. Nottingham.
