Erm. an eagle displ. double headed gu.	Wooden, Suffolk
Erm. an eagle rising holding in the dexter claw a stone gu.	Jogn Siminges, M.D., V.
Erm. an eagle displ. sa.	Read, Cairney, quartered by Lyon.
Erm. an eagle displ. sa. argmed gu. a blendlet compony or and az.	Rose, Easter Gate, Sussex; granted 16, February 1681.
Erm. an eagle displ. sa. a fess chequy or and az.	Chambers.
Erm. an eagle displ. double headed sa. armed gu.	Sr. .... de Worthe, Devon, V. Worth or De Worth, Worth, Devon, temp. Henry II.
Gu. an eagle displ. arg.	Chamberlayn. Cosyn, Norfolk. Geney. Joan de Godemonestone, E. Godenenonestone, E, Harl. MS. 6137 Lymesey Lymsey Lyndsey or Lynsey. Priaulx, Guernsey Sire Henry de Sodhull, O. Soothill, Soothill, near Wakefield. Sr. Henry Sothill, V. Sire Johan Sothulle, N. Southill, co. Leicester. Southwell, Essex; and co. Lincoln. Suthill, Redburn, co. Lincoln. Wayny.
Gu. an eagle displ. arg. a bend compony or and sa.	Deane.
Gu. semy of fleurs-de-lis and an eagle displ.arg.	Goodsinging.
Gu. an eagle displ. arg. beaked or a (fess or rather) bar az.	William de Sothille, G.
Gu. an eagle displ. arg. armed or.	Bigberie. Sothill, V*. Sr. John Sothille, Essex, temp. Edward III, Harl. MS. 1392. Henry Sotthill, Y. Sr. John Tothill, Essex, temp. Edward I, V. Waney, V*. Wayney Wayny or Wancy, Harl. MS. 1392.
Gu. an eagle displ. arg. crowned or.	Marckner.
Gu. an eagle displ. double headed arg.	Maceldon, V. Malcedon. Fitz-Stephen, Norton, co. Devon.
Gu. an eagle displ. barry of six erm. and az.	Barnett, quartered by Rolls.
Gu. an eagle displ. barry of six or and vert.	Coche or Cochey.
Gu. an eagle displ. barry of eight or and vert.	Coche, V*.
Gu. an eagle displ. barry of ten or and vert.	Sr. .... de Coche, V.
Gu. an eagle displ. barry of twelve or and az.	Coche, V*.
Gu. an eagle displ. barry of twenty-three or and az.	Coche, V.
Gu. an eagle displ. bendy of three or and of the first.	Illey, co. Lincoln.
Gu. an eagle displ. erm.	Waney, 1730. Wayney, V.
Gu. an eagle displ. erm. armed or.	Madreston.
Gu. an eagle displ. or.	Geney. Godard, V. Godard, Walpole, Norfolk. Goddard, standen, Swinden, Catford, and Ogbourn, co. Wilts, 1730. Gothard, Newcastle. Kevermond. Sire Peres de Lemesi, N. Richar de Nimesky, G. Lisley. Lymesey or Lyndsey, co. Warwick. Sire Piers de Lymesy, O. Priaulx, Guernsey. M. Raffe Rocheford, quartering quarterly gu. and or (another or and gu.) a bordure sa. bezanty, S. Storange or Storinge. Strong, Ross, co. Hereford. Strong, Ireland.
Gu. an eagle displ. or a baston az.	Sire Felip de Illeye, N.
Gu. an eagle displ. or a baston of the arms of Mounford.	Sire Richard de Lemesi, N.
Gu. an eagle displ. or a bend az.	Illey, Suffolk.
Gu. an eagle displ. or a bendlet az.	Sr. Philip Illey, co. Lincoln, temp. Edward I, V.
Gu. an eagle displ. or armed and ducally crowned arg.	Grabye, V*. Granted 1592 to Graves, co. Northampton; James Grayve, co. York; and John Grave, London, W. Grave, Thanks, Cornwall; Westfirle, Sussex; and Heyton, co. York.
Gu. an eagle displ. or armed az.	Lemesey, co. Warwick. Monsire de Linsie, Y. John Lymesey or Lymesy, Y.
Gu. an eagle displ. or armed sa.	Lemosy or Lyesey, co. Warwick Limsey, Arley, co. Warwick: temp. Henry III. Lindsey, V*. Sr. Piers Linsey, co. Warwick, temp. Edward I, V. Pevensey, V.
Gu. an eagle displ. or collared ducally az.	Stone, London.
Gu. an eagle displ. or crowned arg.	Greaves, Kent; and St. Leonard's Forest, Sussex.
Gu. an eagle displ. double-headed or dimidiated with chequy arg. and az.	Sweetman, co. Kilkenny; and Swetman, Castleleiffe, co. Kilkenny, as descended from Sir Robert Swetman Barony by writ to the Irish Parliament 1734 presumed to be in abeyance.
Gu. an eagle displ. double headed or a baston arg.	Lenosby.
Gu. an eagle ayrant or.	Bardolph, Norfolk.
Gu. an eagle wings elevated or.	Heald, Par's Wood, Didsbury, Manchester; quartering az. a fret or over all on a fess arg. a rose betw.two crosses patty gu. barbed and seeded ppr.
Gu. an eagle wings expanded and ducally gorged or.	Grave, London; and York; granted 12 June 1591.
Gu. an eagle volant recursant in bend wings overture or.	Bees.
Gyronny of eight arg. and gu. in chief an eagle displ. sa.	Nicholas, France.
Gyronny of eight arg. and sa. an eagle displ. double headed or.	Goodman.
Gyronny of eight erm. and sa. an eagle displ. double headed or.	Goodman, Golborn, co. Chester; co. Hertford; and London. Gorman.
Gyronny of eight or and sa. an eagle displ. arg.	Lenthorne.
Gyronny of eight or and sa. an eagle volant gu.	Leverett.
Lozengy or and az. an eagle displ. erm. armed of the first.	Chilton.
Or an eagle displ. az.	Carnegie, Carnegie, Scotland. Sr. Walter Fishide, V. Fylsheal, co. Dorset. Lucton or Lugtown, That Ilk. Sire William de Mongomeri, N, or Montgomery, O. Ser Jogn Montgomery, Q. Montgomery, Captain of Calais and Admerial of the Fleet 1347. Peverell, Ermington, co. Devon; the heiress . Carew. Rouse or Rous, Modbury, co. Devon; the senior descendants of Radulphus le Rufus. Sholdham, Norfolk.
Or an eagle displ. az. quarterly with arg. three bars wavy az. on a chief of the last a castor-beaver with his head turned biting off the castor or.	Town of Beverley, co. York.
