Gu. three stirrups leathered and buckled or.	Scudamore, co. Gloucester. Scudamore, Sligo, Ireland. Scudamore, Kentchurch, co. Hereford. Scudamore (modern); quartering or a cross patty fitchy gu. for Scudamore (ancient); quartering az. two bars gemelles in chief a lion pass. guard. or. for Tregos, arg. a fess gu. betw. three estoiles sa. for Ewias, erm. two bars gemelles gu. for Huntercombe. Scudamore, Viscount in the Peerage of Ireland. Scudamore, Ballingham, co. Hereford; Baronetey 1644; extinct .... Scudamore, Home Lacy, co. Hereford; Baronetey 1629; extinct 1716. Wautier Skidmore, X.
....three stirrups....in a bordure engr.....	Gifford, Collinson, Somerset., ii, 373; quartering .... a chev. .... betw. three lions ramp. ....
Az. three stirrups or within a bordure engr. arg. pelletty.	Gifford, Roddinghurst, co. Wilts.
Az. three stirrups or an bordure indented of the second.	Sire Piers Giffard, O.
Arg. a tombstone gu.	Albon or Albin.
Vert three flintstones arg.	Flint, Harl. MS. 1407, fo. 123.
Az. three millstones arg.	Melveton or Milveton, Cheshire. Milveton.
Az. three millstones ppr. (i.e., arg. picked sa. and with the millrind).	Molenter alias Molington, alias Mollington, co. Chester. Harl. MS. 1535, fo. 221. Singe, Bridgnorth, co. Salop.
Az. three millstones ppr.	Melveton, co. Chester. Millenton, V. Milnston, co. Chester. Synge, Kiltrough, co. Meath; Baronetey 1801; quartering arg. an eagle displ. with two heads sa. beaked and legged gu.
Sa. three millstones arg. two and one.	Spence, co. York.
Vert three tombstones arg.	Tomb.
Arg. three wall stones in pale or.	Brickley.
Sa. three sugar loaves arg.	Sugar; Collinson, Somerset, iii, 404.
Arg. the sun in splendour gu.	Delahay, co. Hereford. John de la Haye, A. Grove. Harst. Hast. Herst, V. Hurst, Sterford, co. Hertford.
Arg. a sun eclipsed issuing out of the dexter chief the beams or.	Welday, Wheelhurst. Randle Holme.
Az. a sun arg.	Hugard. Sir Andrew Hugard, V.
Az. the sun rising from behind a hill or.	Hill, Edinburgh, Scotland.
Az. a sun or.	Abraham. Lothian.
Az. the sun in splendour or.	Aldam, Kent. Aldernam. Aldham, V. Aldbraham. Town of Banbury, co. Oxford. St. Clere. Nadal.
Az. the sun in splendour ppr. a coat of augmentation for the title of Lothian; Ker, Marquess of Lothian; quartering gu. on a chev. arg. three mullets of the field for the lordship of Jedburgh.	Ker, Abbot Rule, Scotland.
Az. in the dexter canton a sun issuant therefrom seven rays or the centerone betw. two estoiles in bend sinister arg.	Granted to John Adlam, Bristol.
Az. the sun half-eclipsed (per pale sa. and or.)	Dyson, Inkbarrow, co. Worcester, Harl. MS. 1566.
Gu. a sun in its glory arg.	Richmond. John de la Haye, Harl. MS. 6137, fo. 92.
Gu. a sun per pale sa. and or.	Dyson, co. Stafford.
Or a sun radiated gu.	Hayes; quartering arg. a chev. betw. three martlets sa. Collinson, Somerset, iii, 406.
Or a sun gu.	Hays, co. Dorset.
Per pale az. and or a sun counterchanged.	Clere, Cornwall.
Per pale or and az. the sun half-faced sa. and the other gold;	Dyson, Willow Hall, co. York. and Everton, co. Lancaster; quartering per bend sinister erm. and ermines a lion ramp. or, for Edwards, co. Yoork.
Per pale or and az. a sun counterchanged.	St. Clere, Tidwell, co. Devon, the heiress m. Arscot.
Quarterly az. and gu. over all a sun or in the first and fourth quarters two fleurs-de-lis fessways in the second and third a lion pass. guard. of the third.	Hurst, Hinckley, co. Leicester; granted 1763.
Quarterly az. and gu. over all the sun in splendour.	Michelson.
Quarterly erm. and or a sun gu.	Hurst, Welbery, co. Hertford; granted 1715. Hurst, Horsham Park, Sussex.
Quarterly sa. and gu. a sun or.	Michaelson.
Sa. a sun in splendour or.	Dernley. Derule.
Sa. the sun or.	Rake. Rale. Rayle. Rule, V. Rute.
Az. a sun in its glory or on a canton gu. a lion pass. arg.	St. Clere, Cornwall; and Essex. St. Clere, V.
Az. a sun rising above a representation of the Ghauts (moutains hear Bombay) in base and in chief two bees volant all ppr.	Granted to Sir Jamsetjee Jejeebhoy, Bombay; Baronetey 1857.
Az. out of a crescent arg. a sun or.	Manelson, co. Lincoln. Moonson, co. Lincoln. Nadal. Nedal. Thomas de Oldham, A. Richmond. Mounsyr Sincleer, X. Sir Thomas Seynt Clere, V. St. Cleere. St Clere, Ightham, Kent; Gage, Hengreave, pp. 72, 226, 230-1-6.
Az. in chief the sun in splendour arg. in base a crescent or.	Bowles, Bremhill, co. Wilts.
Az. a sun arg. issuing from a crescent or.	Dowse, Collingborn, co. Wilts.
