Erm. on a bend gu. three barrulets wavy or.	Getham, V. Gotham.
Paly of six arg. and az. on a bend gu. three bars or.	Levet or Levett.
Gu. on a bend arg. two bars gemel of the first.	Schorcher, V*.
Gu. on a bend engr. or a baston az.	Eliot Eliott or Elliott, stobbs, co. Roxburgh, Baronetcy 3 September 1666.
Az. on a bend embattled arg. a greyhound courant betw. two escallops sa.	Hornyold or Horniold, Hanley Castle, and Blackmore Park, co. Worcester.
Arg. (another or) on a bend sa. a demi-lion of the first betw. two ogresses.	Sllot, co. Lancaster; and co. Lincoln.
Arg. on a bend of the first fimbriated ermines a lion pass. guard. gu. betw. two acorns az.	Rhodes, Bellair and Shapwick, co. Devon; quartering Sleech, Andrew, and Cholwich. John Rhodes, Horbury, eldest and disinherited son of Sir John Rhodes, Barlborough. Rhodes or Rodes, Great Houghton, co. York; the heiress m. Busk; descended like Rhodes or Rodes, Staveley. Woodthorpe, and Barlborough, co. Derby; Baronetcy 1641, extinct 1743, the heirs m. Heathcote and Reaston; (through Francis Rodes, Judge of the Common Pleas, temp. Elizabeth); from Gerard de Rodes, Horncastle, co. Lincoln, temp. Henry II. Sir John de Rodes, co. Nottingham, V.
Arg. on a bend az. a lion ramp. or.	Pallingham.
Arg. on a bend compony gu. and or in the chief point a lion pass. of the last.	Palingham, V*.
Arg. on a bend raguly gu. a lion pass. of the first.	Comes, London. Goodwin, Rawmarsh. co. York; descended from Goodwin of East Grimstead, Sussex; the heirs m. Oats and Crowder.
Arg. on a bend gu. a lion pass. or.	Gallop.
Arg. on a bend gu. a lion ramp. or.	Pallingham.
Arg. on a bend sa. a lion pass. or.	Duller, Duller.
Az. on a bend or a lion pass. purp.	Sire Henri de Skrop, N.
Az. on a bend or a lion pass. in chief purp.	Sir Henry Scroope, Essex, temp. Edward III, V.
Az. on a bend or a lion ramp purp.	Sir Henry le Scrope, M. Henry le Scroop, Bolton, Y. Monsire William le Scroope, Y.
Az. on a bend or a lion ramp. in chief purp.	Sir Henry Scrope, Chief Justice, first Lord Scrope of Bolton, ob. 7 September 1336.
Az. on a bend or a lion pass. sa.	Henry Scrope, third Lord Scrope of Masham, beheaded 5 August 1415.
Barry nebuly (or wavy, Cotton MS. Tiberius, D, 10, fo. 887) of six arg. and az. ona bend gu. a lion pass. guard. or.	Company of Haberdashers anciently called Hurrers and Milleners, London; incorporated 1447. Company of Haberdashers, Exeter.
Barry of six or and az. on a bend gu. a lion pass. betw. two roses (arg. another) all of the first.	Lyngard or Lyngharde, Willingburgh, co. Northampton.
Barry of six vert and gu. on a bend or a lion pass betw. two 5-foils purp.	Magnes.
Chequy or and az. on a bend gu. a lion pass. of the first.	Brooke, Whittchurch, co. Hants.
Gu. on a bend arg. a lion pass. sa.	Cynric Efell, Lord of Eglwys Egle, son of Madon, last Prince of Powys-Fadog; and his descendents, Broughton, Wrexham: Davies, Eton Hous, Kent; and Trefynant, co. Denbigh derived (like Davies, Marrington Hall, co. Salop) from Devies, Gwysanney and Llanerch, co. Flint, a heiress m. Puleston: Eyton, Leeswood, co. Flint: Lewis, Hendrebiffa: Parry, Plas Newydd: Roberts, Nerquis: Williams, Arddynwent: Wynne, Hartsheath, and Tower, co. Flint. David, North Wales; confirmed 20 April 1581. Davies, Hanwell, Middlesex. Richard Parry, Bishop of St. Asaph 1604-23. Williams, Aswarby, co. Lincoln.
Gu. on a bend arg. a lion ramp. sa.	Parry.
Gu. on a bend erm. a lion pass. sa.	Davis.
Gu. on a bend or a lion pass. sa.	De Doway.
Gu. on a bend or a lion pass. guard. sa.	Gollop, North Bowood, Temple and Strode House, co. Dorset.
Per pale arg. and az. on a bend gu. a lion pass. guard. or.	Beanford or Beauford, co. Lancaster.
Gu. on a bend arg. two greyhounds pass. sa.	Whitehouse.
Arg. on a bend gu. three antelopes pass. of the first attired or.	Halliwell, Pike House, co. Lancaster; a heiress m. 1720 Beswicke.
Gu. on a bend arg. three bears sa.	Letterington. Letterington, V*.
Gu. on a bend arg. three bears bendwise statant sa. muzzled ....	Lettryngton, V.
Gu. on a bend or three bears statant sa.	Luttrington.
Arg. on a bend sa. three grices pass. of the first.	Grice, Iver, co. Buckingham; and Littleton, Middlesex.
Paly of six or and gu. on a bend sa. three boars pass. arg.	Burton or Byrton.
Paly of six or and gu. on a bend sa. three boars bendwise statant arg.	Byrton, V.
Quarterly az. and or on a bend arg. three boars sa.	Legryle, Brockdish, Norfolk.
Quarterly gu. and az. on a bend arg. three boars sa.	Gryse, Norfolk. Legryle, Brockdish, Norfolk. Le Grice, Treriefe, Cornwall.
Quarterly gu. and az. on a bend arg. three boars pass. sa. armed or.	Grice, Brokedish, Norfolk. Grys.
Quarterly gu. and az. on a bend arg. three boars bendwise statant sa.	Gryse, Norfolk, V.
Quarterly or and az. on a bend sa. three boars pass or.	Gryce, Norfolk.
Arg. on a bend sa. three cats-a-mountain coward tails reflexed of the first.	Gawtree, Boston, co. Lincoln.
Arg. on a bend sa. three hinds pass. ....	Dale, Surry.
Sa. on a bend or three bucks trippant gu.	Chevercot.
