Gu. four crescents arg. on a chief az. two more of the second.	Dumerle, V*.
Az. crusily or five crescents arg.	Durham, Norfolk.
Az. five crescents in cross or.	Hamond, Isle of Wight.
Az. five crescents in saltire or.	Pinto, Portugal.
Barry of four (? gu.) and erm. in the first five crescents three and two (? sa.)	Waterton.
Gu. five crescents in saltire or.	Kensington. William de Kilkenny, Bishop of Ely 1254-6.
Or five crescents in cross az.	Hamond, co. Hants.
Or five crescents in cross az. on a canton of the last an ostritch's feather in pale arg.	Hamond, Chertsey, Surrey.
Arg. six crescents sa.	Hogillington or Hoglington. In pile. Blaquiere. Blare, 1730.
Az. six crescents in pile or.	Rye. Sir William Ryther, I.
Barry wavy of five arg. and az. six crescents in pile as the second.	Hornbrook, Tavistock.
Gu. six crescents arg.	Levall. In pile. Lealle. Liall.
Gu. six crescents arg. over all a bend compony or and az.	Welles, Kent. In pile. Leal Leale or Lealle. Liall, Kent. Well, Kent.
Gyronny of six gu. and or as many crescents counterchanged.	Bradstreet, Ireland.
Per bend arg. and sa. six crescents counterchanged.	Wychalfe.
Per chief az. and gu. six crescents arg.	Dumerle.
Per fess arg. and sa. six crescents in pale counterchanged.	Wichalfe Wichaple Wichlase or Wychelfe, Chudleigh, and Barnstaple, co. Devon.
Per pale arg and sa. six crescents two two and two counterchanged.	Nicholas. Stretchley, Stretchleigh, co. Devon. Wichehalfe, V. Wichalse, co. Devon.
Sa. six crescents arg.	Blaire.
Sa. six crescents each enclosing a cross croslet fitchy arg.	Adam Blare, E.
Sa. crusily arg. and six crescents or.	Adam De Blast, F. But crusily fitchy. Adam De Blare, E. Harl. MS. 6137.
Gu. six crescents arg. within a bordure compony or and az.	Sir Johan de Welle, N.
Az. seven crescents three three and one arg.	Lawford.
Barry of five arg. and sa. seven crescents three three and one as the last.	Hewes.
Gyronny of eight sa. and or as many crescents counterchanged.	Tawse, Scotland.
Lozengy gu. and arg. nine crescents in saltire alternately counterchanged.	Cassel or Cassell.
Gu. ten crescents each enclosing a 4-foil arg.	Rongrollis.
Or on each of ten crescents gu. a hawk's bell arg.	Francois.
Arg. fretty sa. in each interstice a cresscent gu.	Creevey.
Arg. fretty vert on each crossing of the fret a crescent or over all a buck saliant sa. attired or.	Warnett or Warnitz.
Az. crescents or.	Sire William de Rye, H. William de Ridre, K.
Az. billety and crescents or.	Donmare.
Erm. three glazier's cripping-irons in saltire gu.	Titherly, Titherley.
.... a cross patty .....	Augustinian Priory at Greisely, co. Derby; impailing vairy erm. and gu.
.... a cross moline ....	Christ's Hospital, co. Lincoln.
.... a cross patonce square pierced ....	O'Phealan or Offealan.
Arg. a cross az.	Bourton or Burton, Bourton-super-Dunsmore, co. Warwick; the coheirs m. Garshall and Verdon. Guthry, That Ilk, quartering Cuming. Alexander Totington, Bishop of Norwich, 1407-13.
Arg. a cross botonny az.	Egmon.
Arg. a cross croslet az.	Britton.
Arg. a cross engr. az.	Sinclair, Polwarth, Scotland, quartered by Home. Sinclair, Blansse, Scotland, quartering or three martlets gu. Sinclair, Herdmoustone, East Lothian. St. Clair, Hormiston.
Arg. a cross flory az.	Bevercourt. Lexington. Malpas, co. Chester, quartered by Holte. Verdon, co. Leicester, Harl. MS. 1407. And with a label az. Bevertote or Bevertourt.
Arg. a cross flory voided (? az.).	Melton, co. Lancaster.
Arg. a cross fourche au kanee az.	John de Lexington, B.
Arg. a cross humetty triple parted az.	Hurst, co. Salop. Hurste.
Arg. a cross humetty voided az.	Wasbourne, V. Washborne, V*.
Arg. a cross moline az.	Malpas. Miller, Scotland. Sampson, Colyton, co. Devon, quartering Braddich. Zefoild.
Arg. a cross moline az. surmounted by a sword in pale ppr.	Deans, Longhermiston, Scotland.
Arg. a cross moline quarter pierced az.	Sibbald, Balgony, Scotland.
